participant_id	ses	variable	value	local
A00018030	FLU1	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-FLU1/func/sub-A00018030_ses-FLU1_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-FLU1/func/sub-A00018030_ses-FLU1_task-rest_acq-645_physio.tsv.gz
A00018030	FLU1	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-FLU1/func/sub-A00018030_ses-FLU1_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-FLU1/func/sub-A00018030_ses-FLU1_task-rest_acq-645_physio.json
A00027159	TRT	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-TRT/anat/sub-A00027159_ses-TRT_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-TRT/anat/sub-A00027159_ses-TRT_T1w.json
A00027159	TRT	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-TRT/anat/sub-A00027159_ses-TRT_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-TRT/anat/sub-A00027159_ses-TRT_T1w.nii.gz
A00027159	TRT	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-TRT/func/sub-A00027159_ses-TRT_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-TRT/func/sub-A00027159_ses-TRT_task-rest_acq-645_bold.nii.gz
A00027159	TRT	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-TRT/func/sub-A00027159_ses-TRT_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-TRT/func/sub-A00027159_ses-TRT_task-rest_acq-645_bold.json
A00027159	TRT	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-TRT/func/sub-A00027159_ses-TRT_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-TRT/func/sub-A00027159_ses-TRT_task-rest_acq-645_physio.tsv.gz
A00027159	TRT	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-TRT/func/sub-A00027159_ses-TRT_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-TRT/func/sub-A00027159_ses-TRT_task-rest_acq-645_physio.json
A00027159	FLU1	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-FLU1/anat/sub-A00027159_ses-FLU1_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-FLU1/anat/sub-A00027159_ses-FLU1_T1w.json
A00027159	FLU1	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-FLU1/anat/sub-A00027159_ses-FLU1_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-FLU1/anat/sub-A00027159_ses-FLU1_T1w.nii.gz
A00027159	FLU1	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-FLU1/func/sub-A00027159_ses-FLU1_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-FLU1/func/sub-A00027159_ses-FLU1_task-rest_acq-645_bold.nii.gz
A00027159	FLU1	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-FLU1/func/sub-A00027159_ses-FLU1_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-FLU1/func/sub-A00027159_ses-FLU1_task-rest_acq-645_bold.json
A00027159	FLU1	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-FLU1/func/sub-A00027159_ses-FLU1_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-FLU1/func/sub-A00027159_ses-FLU1_task-rest_acq-645_physio.tsv.gz
A00027159	FLU1	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027159/ses-FLU1/func/sub-A00027159_ses-FLU1_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027159/ses-FLU1/func/sub-A00027159_ses-FLU1_task-rest_acq-645_physio.json
A00027167	TRT	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-TRT/anat/sub-A00027167_ses-TRT_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-TRT/anat/sub-A00027167_ses-TRT_T1w.json
A00027167	TRT	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-TRT/anat/sub-A00027167_ses-TRT_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-TRT/anat/sub-A00027167_ses-TRT_T1w.nii.gz
A00027167	TRT	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-TRT/func/sub-A00027167_ses-TRT_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-TRT/func/sub-A00027167_ses-TRT_task-rest_acq-645_bold.nii.gz
A00027167	TRT	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-TRT/func/sub-A00027167_ses-TRT_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-TRT/func/sub-A00027167_ses-TRT_task-rest_acq-645_bold.json
A00027167	TRT	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-TRT/func/sub-A00027167_ses-TRT_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-TRT/func/sub-A00027167_ses-TRT_task-rest_acq-645_physio.tsv.gz
A00027167	TRT	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-TRT/func/sub-A00027167_ses-TRT_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-TRT/func/sub-A00027167_ses-TRT_task-rest_acq-645_physio.json
A00027167	FLU1	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-FLU1/anat/sub-A00027167_ses-FLU1_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-FLU1/anat/sub-A00027167_ses-FLU1_T1w.json
A00027167	FLU1	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-FLU1/anat/sub-A00027167_ses-FLU1_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-FLU1/anat/sub-A00027167_ses-FLU1_T1w.nii.gz
A00027167	FLU1	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-FLU1/func/sub-A00027167_ses-FLU1_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-FLU1/func/sub-A00027167_ses-FLU1_task-rest_acq-645_bold.nii.gz
A00027167	FLU1	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-FLU1/func/sub-A00027167_ses-FLU1_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-FLU1/func/sub-A00027167_ses-FLU1_task-rest_acq-645_bold.json
A00027167	FLU1	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-FLU1/func/sub-A00027167_ses-FLU1_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-FLU1/func/sub-A00027167_ses-FLU1_task-rest_acq-645_physio.tsv.gz
A00027167	FLU1	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027167/ses-FLU1/func/sub-A00027167_ses-FLU1_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027167/ses-FLU1/func/sub-A00027167_ses-FLU1_task-rest_acq-645_physio.json
A00027439	TRT	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-TRT/anat/sub-A00027439_ses-TRT_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-TRT/anat/sub-A00027439_ses-TRT_T1w.json
A00027439	TRT	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-TRT/anat/sub-A00027439_ses-TRT_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-TRT/anat/sub-A00027439_ses-TRT_T1w.nii.gz
A00027439	TRT	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-TRT/func/sub-A00027439_ses-TRT_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-TRT/func/sub-A00027439_ses-TRT_task-rest_acq-645_bold.nii.gz
A00027439	TRT	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-TRT/func/sub-A00027439_ses-TRT_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-TRT/func/sub-A00027439_ses-TRT_task-rest_acq-645_bold.json
A00027439	TRT	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-TRT/func/sub-A00027439_ses-TRT_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-TRT/func/sub-A00027439_ses-TRT_task-rest_acq-645_physio.tsv.gz
A00027439	TRT	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-TRT/func/sub-A00027439_ses-TRT_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-TRT/func/sub-A00027439_ses-TRT_task-rest_acq-645_physio.json
A00027439	FLU1	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-FLU1/anat/sub-A00027439_ses-FLU1_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-FLU1/anat/sub-A00027439_ses-FLU1_T1w.json
A00027439	FLU1	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-FLU1/anat/sub-A00027439_ses-FLU1_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-FLU1/anat/sub-A00027439_ses-FLU1_T1w.nii.gz
A00027439	FLU1	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-FLU1/func/sub-A00027439_ses-FLU1_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-FLU1/func/sub-A00027439_ses-FLU1_task-rest_acq-645_bold.nii.gz
A00027439	FLU1	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-FLU1/func/sub-A00027439_ses-FLU1_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-FLU1/func/sub-A00027439_ses-FLU1_task-rest_acq-645_bold.json
A00027439	FLU1	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-FLU1/func/sub-A00027439_ses-FLU1_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-FLU1/func/sub-A00027439_ses-FLU1_task-rest_acq-645_physio.tsv.gz
A00027439	FLU1	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00027439/ses-FLU1/func/sub-A00027439_ses-FLU1_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00027439/ses-FLU1/func/sub-A00027439_ses-FLU1_task-rest_acq-645_physio.json
A00031881	TRT	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-TRT/anat/sub-A00031881_ses-TRT_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-TRT/anat/sub-A00031881_ses-TRT_T1w.json
A00031881	TRT	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-TRT/anat/sub-A00031881_ses-TRT_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-TRT/anat/sub-A00031881_ses-TRT_T1w.nii.gz
A00031881	TRT	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-TRT/func/sub-A00031881_ses-TRT_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-TRT/func/sub-A00031881_ses-TRT_task-rest_acq-645_bold.nii.gz
A00031881	TRT	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-TRT/func/sub-A00031881_ses-TRT_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-TRT/func/sub-A00031881_ses-TRT_task-rest_acq-645_bold.json
A00031881	TRT	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-TRT/func/sub-A00031881_ses-TRT_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-TRT/func/sub-A00031881_ses-TRT_task-rest_acq-645_physio.tsv.gz
A00031881	TRT	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-TRT/func/sub-A00031881_ses-TRT_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-TRT/func/sub-A00031881_ses-TRT_task-rest_acq-645_physio.json
A00031881	FLU1	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-FLU1/anat/sub-A00031881_ses-FLU1_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-FLU1/anat/sub-A00031881_ses-FLU1_T1w.json
A00031881	FLU1	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-FLU1/anat/sub-A00031881_ses-FLU1_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-FLU1/anat/sub-A00031881_ses-FLU1_T1w.nii.gz
A00031881	FLU1	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-FLU1/func/sub-A00031881_ses-FLU1_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-FLU1/func/sub-A00031881_ses-FLU1_task-rest_acq-645_bold.nii.gz
A00031881	FLU1	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-FLU1/func/sub-A00031881_ses-FLU1_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-FLU1/func/sub-A00031881_ses-FLU1_task-rest_acq-645_bold.json
A00031881	FLU1	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-FLU1/func/sub-A00031881_ses-FLU1_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-FLU1/func/sub-A00031881_ses-FLU1_task-rest_acq-645_physio.tsv.gz
A00031881	FLU1	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00031881/ses-FLU1/func/sub-A00031881_ses-FLU1_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00031881/ses-FLU1/func/sub-A00031881_ses-FLU1_task-rest_acq-645_physio.json
A00033714	TRT	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-TRT/anat/sub-A00033714_ses-TRT_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-TRT/anat/sub-A00033714_ses-TRT_T1w.json
A00033714	TRT	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-TRT/anat/sub-A00033714_ses-TRT_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-TRT/anat/sub-A00033714_ses-TRT_T1w.nii.gz
A00033714	TRT	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-TRT/func/sub-A00033714_ses-TRT_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-TRT/func/sub-A00033714_ses-TRT_task-rest_acq-645_bold.nii.gz
A00033714	TRT	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-TRT/func/sub-A00033714_ses-TRT_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-TRT/func/sub-A00033714_ses-TRT_task-rest_acq-645_bold.json
A00033714	TRT	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-TRT/func/sub-A00033714_ses-TRT_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-TRT/func/sub-A00033714_ses-TRT_task-rest_acq-645_physio.tsv.gz
A00033714	TRT	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-TRT/func/sub-A00033714_ses-TRT_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-TRT/func/sub-A00033714_ses-TRT_task-rest_acq-645_physio.json
A00033714	FLU1	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-FLU1/anat/sub-A00033714_ses-FLU1_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-FLU1/anat/sub-A00033714_ses-FLU1_T1w.json
A00033714	FLU1	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-FLU1/anat/sub-A00033714_ses-FLU1_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-FLU1/anat/sub-A00033714_ses-FLU1_T1w.nii.gz
A00033714	FLU1	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-FLU1/func/sub-A00033714_ses-FLU1_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-FLU1/func/sub-A00033714_ses-FLU1_task-rest_acq-645_bold.nii.gz
A00033714	FLU1	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-FLU1/func/sub-A00033714_ses-FLU1_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-FLU1/func/sub-A00033714_ses-FLU1_task-rest_acq-645_bold.json
A00033714	FLU1	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-FLU1/func/sub-A00033714_ses-FLU1_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-FLU1/func/sub-A00033714_ses-FLU1_task-rest_acq-645_physio.tsv.gz
A00033714	FLU1	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00033714/ses-FLU1/func/sub-A00033714_ses-FLU1_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00033714/ses-FLU1/func/sub-A00033714_ses-FLU1_task-rest_acq-645_physio.json
A00034350	TRT	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00034350/ses-TRT/anat/sub-A00034350_ses-TRT_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00034350/ses-TRT/anat/sub-A00034350_ses-TRT_T1w.json
A00034350	TRT	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00034350/ses-TRT/anat/sub-A00034350_ses-TRT_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00034350/ses-TRT/anat/sub-A00034350_ses-TRT_T1w.nii.gz
A00034350	TRT	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00034350/ses-TRT/func/sub-A00034350_ses-TRT_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00034350/ses-TRT/func/sub-A00034350_ses-TRT_task-rest_acq-645_bold.nii.gz
A00034350	TRT	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00034350/ses-TRT/func/sub-A00034350_ses-TRT_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00034350/ses-TRT/func/sub-A00034350_ses-TRT_task-rest_acq-645_bold.json
A00034350	TRT	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00034350/ses-TRT/func/sub-A00034350_ses-TRT_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00034350/ses-TRT/func/sub-A00034350_ses-TRT_task-rest_acq-645_physio.tsv.gz
A00034350	TRT	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00034350/ses-TRT/func/sub-A00034350_ses-TRT_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00034350/ses-TRT/func/sub-A00034350_ses-TRT_task-rest_acq-645_physio.json
A00034350	FLU1	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00034350/ses-FLU1/anat/sub-A00034350_ses-FLU1_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00034350/ses-FLU1/anat/sub-A00034350_ses-FLU1_T1w.json
